,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life
0,Calumet Beach,2018-04-07 00:30:00,21.7,3.15,0.389,3.0,0.0
1,Ohio Street Beach,2019-06-14 19:00:00,16.0,2.18,0.137,3.0,11.8
2,Ohio Street Beach,2018-05-16 13:00:00,21.7,1.92,0.023,1.0,10.3
3,Ohio Street Beach,2018-05-16 14:00:00,21.9,1.81,0.026,6.0,10.3
4,Ohio Street Beach,2018-06-04 09:00:00,23.0,0.03,0.021,8.0,12.4
5,Ohio Street Beach,2018-06-04 10:00:00,17.6,3.09,0.159,4.0,12.6
6,Ohio Street Beach,2018-06-04 12:00:00,19.3,2.96,0.157,4.0,12.5
7,Ohio Street Beach,2018-06-04 13:00:00,19.6,2.81,0.167,4.0,12.5
8,Ohio Street Beach,2018-06-04 15:00:00,18.2,3.06,0.149,4.0,12.5
9,Ohio Street Beach,2018-06-04 16:00:00,18.6,3.07,0.159,4.0,12.4
10,Ohio Street Beach,2018-06-04 17:00:00,18.2,2.96,0.139,4.0,12.4
11,Ohio Street Beach,2018-06-04 18:00:00,18.4,2.83,0.145,4.0,12.4
12,Ohio Street Beach,2018-06-04 19:00:00,18.4,2.77,0.147,4.0,12.4
13,Ohio Street Beach,2018-06-04 20:00:00,18.4,2.65,0.152,4.0,12.3
14,Ohio Street Beach,2018-06-04 21:00:00,18.2,2.58,0.116,3.0,12.3
15,Ohio Street Beach,2018-06-04 23:00:00,18.1,2.87,0.097,3.0,12.3
16,Ohio Street Beach,2018-06-05 00:00:00,18.0,2.83,0.09,5.0,12.3
17,Ohio Street Beach,2018-06-05 01:00:00,17.9,2.66,0.106,4.0,12.3
18,Ohio Street Beach,2018-06-05 02:00:00,17.8,2.46,0.086,4.0,12.2
19,Ohio Street Beach,2018-06-05 03:00:00,17.6,2.47,0.093,5.0,12.2
20,Ohio Street Beach,2018-06-05 04:00:00,17.5,2.55,0.089,4.0,12.2
21,Ohio Street Beach,2018-06-05 05:00:00,17.5,2.46,0.088,4.0,12.2
22,Ohio Street Beach,2018-06-05 06:00:00,17.5,2.55,0.096,4.0,12.2
23,Ohio Street Beach,2018-06-05 07:00:00,17.5,2.43,0.091,4.0,12.2
24,Ohio Street Beach,2018-06-05 08:00:00,17.5,2.39,0.183,2.0,12.2
25,Ohio Street Beach,2018-06-05 09:00:00,17.5,2.37,0.283,3.0,12.1
26,Ohio Street Beach,2018-06-05 10:00:00,17.6,2.56,0.298,3.0,12.1
27,Ohio Street Beach,2018-06-05 11:00:00,17.7,2.97,0.321,4.0,12.1
28,Ohio Street Beach,2018-06-05 12:00:00,17.5,3.16,0.315,4.0,12.1
29,Ohio Street Beach,2018-06-05 13:00:00,17.5,3.58,0.372,4.0,12.1
30,Ohio Street Beach,2018-06-05 14:00:00,17.5,4.44,0.299,4.0,12.1
31,Ohio Street Beach,2018-06-05 15:00:00,18.0,6.14,0.33,5.0,12.1
32,Ohio Street Beach,2018-06-05 16:00:00,17.5,5.21,0.31,5.0,12.1
33,Ohio Street Beach,2018-06-05 17:00:00,17.5,4.32,0.289,5.0,12.0
34,Ohio Street Beach,2018-06-05 18:00:00,17.3,5.34,0.306,5.0,12.0
35,Ohio Street Beach,2018-06-05 19:00:00,16.9,5.73,0.38,5.0,12.0
36,Ohio Street Beach,2018-06-05 20:00:00,16.4,6.53,0.333,4.0,12.0
37,Ohio Street Beach,2018-06-05 21:00:00,16.3,6.18,0.301,4.0,12.0
38,Ohio Street Beach,2018-06-05 22:00:00,16.3,5.88,0.278,5.0,12.0
39,Ohio Street Beach,2018-06-05 23:00:00,16.3,5.69,0.287,6.0,12.0
40,Ohio Street Beach,2018-06-06 00:00:00,16.1,5.85,0.282,4.0,12.0
41,Ohio Street Beach,2018-06-06 01:00:00,16.1,5.63,0.263,5.0,12.0
42,Ohio Street Beach,2018-06-06 02:00:00,15.9,5.66,0.285,5.0,12.0
43,Ohio Street Beach,2018-06-06 03:00:00,15.9,5.51,0.255,4.0,11.9
44,Ohio Street Beach,2018-06-06 04:00:00,15.8,4.99,0.247,5.0,11.9
45,Ohio Street Beach,2018-06-04 22:00:00,18.2,2.66,0.116,4.0,12.3
46,Ohio Street Beach,2018-06-06 05:00:00,15.8,4.7,0.229,5.0,11.9
47,Ohio Street Beach,2019-06-14 20:00:00,16.0,2.35,0.134,3.0,11.8
48,Ohio Street Beach,2019-06-15 03:00:00,15.5,1.65,0.108,3.0,11.7
49,Ohio Street Beach,2018-06-06 06:00:00,15.8,4.44,0.217,5.0,11.9
50,Ohio Street Beach,2018-06-06 07:00:00,15.8,4.25,0.219,5.0,11.9
51,Ohio Street Beach,2018-06-06 08:00:00,16.0,3.2,0.214,5.0,11.9
52,Ohio Street Beach,2018-06-06 09:00:00,16.2,3.08,0.191,4.0,11.9
53,Ohio Street Beach,2018-06-06 10:00:00,16.6,3.61,0.193,3.0,11.9
54,Ohio Street Beach,2018-06-06 11:00:00,17.1,3.55,0.185,4.0,11.9
55,Ohio Street Beach,2018-06-06 12:00:00,17.4,3.76,0.185,4.0,11.9
56,Ohio Street Beach,2018-06-06 13:00:00,17.0,3.4,0.176,4.0,11.9
57,Ohio Street Beach,2018-06-06 14:00:00,16.6,3.25,0.173,4.0,11.9
58,Ohio Street Beach,2018-06-06 15:00:00,16.8,3.24,0.184,3.0,11.9
59,Ohio Street Beach,2018-06-06 16:00:00,16.8,3.24,0.169,4.0,11.9
60,Ohio Street Beach,2018-06-06 17:00:00,16.7,3.33,0.17,4.0,11.8
61,Ohio Street Beach,2018-06-06 18:00:00,16.8,3.2,0.164,4.0,11.8
62,Ohio Street Beach,2018-06-06 19:00:00,16.4,3.1,0.185,4.0,11.8
63,Ohio Street Beach,2018-06-06 20:00:00,16.4,3.02,0.161,4.0,11.8
64,Ohio Street Beach,2018-06-06 23:00:00,16.2,2.82,0.133,3.0,11.8
65,Ohio Street Beach,2018-06-07 00:00:00,16.3,2.73,0.129,3.0,11.8
66,Ohio Street Beach,2018-06-07 01:00:00,16.3,2.61,0.119,3.0,11.8
67,Ohio Street Beach,2018-06-07 02:00:00,16.3,2.43,0.122,4.0,11.8
68,Ohio Street Beach,2018-06-07 03:00:00,16.3,2.42,0.111,3.0,11.8
69,Ohio Street Beach,2018-06-07 04:00:00,16.3,2.53,0.114,4.0,11.8
70,Ohio Street Beach,2018-06-07 05:00:00,16.3,2.37,0.127,4.0,11.8
71,Ohio Street Beach,2018-06-07 06:00:00,16.3,2.32,0.126,4.0,11.8
72,Ohio Street Beach,2018-06-07 07:00:00,16.3,2.31,0.175,4.0,11.8
73,Ohio Street Beach,2018-06-07 08:00:00,16.4,2.22,0.154,2.0,11.8
74,Ohio Street Beach,2018-06-07 09:00:00,16.5,2.24,0.12,4.0,11.8
75,Ohio Street Beach,2018-06-07 10:00:00,16.8,2.13,0.14,4.0,11.8
76,Ohio Street Beach,2018-06-07 11:00:00,17.0,2.14,0.119,4.0,11.7
77,Ohio Street Beach,2018-06-07 12:00:00,17.4,2.0,0.125,3.0,11.7
78,Ohio Street Beach,2018-06-07 13:00:00,18.1,1.78,0.121,4.0,11.7
79,Ohio Street Beach,2018-06-07 14:00:00,18.3,1.84,0.143,4.0,11.7
80,Ohio Street Beach,2018-06-07 15:00:00,18.5,1.8,0.104,3.0,11.7
81,Ohio Street Beach,2018-06-07 16:00:00,18.9,1.77,0.176,2.0,11.7
82,Ohio Street Beach,2018-06-07 17:00:00,18.0,1.88,0.227,3.0,11.7
83,Ohio Street Beach,2018-06-07 18:00:00,18.0,1.87,0.208,3.0,11.7
84,Ohio Street Beach,2018-06-07 19:00:00,18.5,1.9,0.221,3.0,11.7
85,Ohio Street Beach,2018-06-07 20:00:00,18.6,1.94,0.191,3.0,11.7
86,Ohio Street Beach,2018-06-07 21:00:00,17.8,1.8,0.226,3.0,11.7
87,Ohio Street Beach,2018-06-07 22:00:00,17.7,1.78,0.225,4.0,11.7
88,Ohio Street Beach,2018-06-07 23:00:00,17.5,1.75,0.226,3.0,11.7
89,Ohio Street Beach,2018-06-08 00:00:00,17.4,1.74,0.233,4.0,11.7
90,Ohio Street Beach,2018-06-08 01:00:00,17.3,1.69,0.252,4.0,11.7
91,Ohio Street Beach,2018-06-08 02:00:00,17.2,1.87,0.251,4.0,11.7
92,Ohio Street Beach,2018-06-08 03:00:00,17.1,1.84,0.234,4.0,11.7
93,Ohio Street Beach,2018-06-08 04:00:00,17.0,1.92,0.274,4.0,11.7
94,Ohio Street Beach,2018-06-06 21:00:00,16.3,3.05,0.167,4.0,11.8
95,Ohio Street Beach,2018-06-08 05:00:00,16.9,1.87,0.271,4.0,11.7
96,Ohio Street Beach,2019-06-14 21:00:00,15.9,2.06,0.116,3.0,11.8
97,Ohio Street Beach,2019-06-15 04:00:00,15.5,1.71,0.113,3.0,11.7
98,Ohio Street Beach,2019-06-15 06:00:00,15.4,1.56,0.101,3.0,11.7
