,user,datetime,session_id,game_no,chances_left,digits_left,input,hint_given,win
0,gopi5665,2021-11-09 15:14:26.191040,M8APB78ZW2,1,3,6,9,False,False
1,gopi5665,2021-11-09 15:14:29.467261,M8APB78ZW2,1,2,6,7,False,False
2,gopi5665,2021-11-09 15:14:31.128614,M8APB78ZW2,1,1,6,6,False,False
3,gopi5665,2021-11-09 15:14:36.228706,M8APB78ZW2,1,1,5,9,True,False
4,gopi5665,2021-11-09 15:14:39.396090,M8APB78ZW2,1,0,5,9,True,False
5,gopi5665,2021-11-09 15:14:43.001206,M8APB78ZW2,2,3,6,1,False,False
6,gopi5665,2021-11-09 15:14:45.213250,M8APB78ZW2,2,3,5,3,False,False
7,gopi5665,2021-11-09 15:14:46.596029,M8APB78ZW2,2,2,5,4,False,False
8,gopi5665,2021-11-09 15:14:48.739866,M8APB78ZW2,2,1,5,8,False,False
9,gopi5665,2021-11-09 15:14:50.320390,M8APB78ZW2,2,0,5,8,True,False
10,gopi5665,2021-11-09 15:14:55.270444,M8APB78ZW2,3,3,6,0,False,False
11,gopi5665,2021-11-09 15:14:56.492552,M8APB78ZW2,3,2,6,5,False,False
12,gopi5665,2021-11-09 15:14:58.293298,M8APB78ZW2,3,2,4,4,False,False
13,gopi5665,2021-11-09 15:15:00.317507,M8APB78ZW2,3,2,2,7,False,False
14,gopi5665,2021-11-09 15:15:03.532658,M8APB78ZW2,3,2,1,1,False,False
15,gopi5665,2021-11-09 15:15:07.743246,M8APB78ZW2,3,1,1,3,False,False
16,gopi5665,2021-11-09 15:15:17.328543,M8APB78ZW2,3,0,1,3,True,False
