,user,datetime,session_id,game_no,chances_left,digits_left,input,hint_given,win
0,res,2021-11-09 00:55:26.875057,0OU9VJ7VTQ,1,3,6,5,False,False
1,res,2021-11-09 00:55:29.843736,0OU9VJ7VTQ,1,2,6,7,False,False
2,res,2021-11-09 00:55:31.515172,0OU9VJ7VTQ,1,1,6,9,False,False
3,res,2021-11-09 00:55:32.664406,0OU9VJ7VTQ,1,1,5,0,True,False
4,res,2021-11-09 00:55:33.223168,0OU9VJ7VTQ,1,1,3,2,True,False
5,res,2021-11-09 00:55:34.196944,0OU9VJ7VTQ,1,0,3,2,True,False
6,res,2021-11-09 00:55:36.708856,0OU9VJ7VTQ,2,3,6,5,False,False
7,res,2021-11-09 00:55:37.513176,0OU9VJ7VTQ,2,2,6,7,False,False
8,res,2021-11-09 00:55:37.827104,0OU9VJ7VTQ,2,1,6,6,False,False
9,res,2021-11-09 00:55:38.125934,0OU9VJ7VTQ,2,0,6,6,True,False
10,res,2021-11-09 00:55:40.817132,0OU9VJ7VTQ,3,3,6,0,False,False
11,res,2021-11-09 00:55:41.797813,0OU9VJ7VTQ,3,2,6,1,False,False
12,res,2021-11-09 00:55:42.849854,0OU9VJ7VTQ,3,2,4,7,False,False
13,res,2021-11-09 00:55:44.213943,0OU9VJ7VTQ,3,1,4,9,False,False
14,res,2021-11-09 00:55:45.849917,0OU9VJ7VTQ,3,0,4,9,True,False
