,user,datetime,session_id,game_no,chances_left,digits_left,input,hint_given,win
0,tc14,2021-11-09 00:11:46.273564,IO26MKNNY6,1,3,6,5,False,False
1,tc14,2021-11-09 00:11:47.525830,IO26MKNNY6,1,2,6,8,False,False
2,tc14,2021-11-09 00:11:48.759282,IO26MKNNY6,1,2,5,0,False,False
3,tc14,2021-11-09 00:11:49.821307,IO26MKNNY6,1,2,3,1,False,False
4,tc14,2021-11-09 00:11:51.289385,IO26MKNNY6,1,1,3,4,False,False
5,tc14,2021-11-09 00:11:52.913918,IO26MKNNY6,1,1,2,9,True,False
6,tc14,2021-11-09 00:12:01.094746,IO26MKNNY6,1,0,2,9,True,False
7,tc14,2021-11-09 00:12:03.057643,IO26MKNNY6,2,3,6,4,False,False
8,tc14,2021-11-09 00:12:04.089952,IO26MKNNY6,2,3,5,6,False,False
9,tc14,2021-11-09 00:12:04.378837,IO26MKNNY6,2,3,4,7,False,False
10,tc14,2021-11-09 00:12:04.685117,IO26MKNNY6,2,2,4,8,False,False
11,tc14,2021-11-09 00:12:04.963601,IO26MKNNY6,2,2,3,9,False,False
12,tc14,2021-11-09 00:12:05.552957,IO26MKNNY6,2,1,3,1,False,False
13,tc14,2021-11-09 00:12:06.432125,IO26MKNNY6,2,0,3,1,True,False
14,tc14,2021-11-09 00:12:07.656097,IO26MKNNY6,3,3,6,3,False,False
15,tc14,2021-11-09 00:12:08.962921,IO26MKNNY6,3,2,6,5,False,False
16,tc14,2021-11-09 00:12:09.558955,IO26MKNNY6,3,1,6,0,False,False
17,tc14,2021-11-09 00:12:10.791908,IO26MKNNY6,3,0,6,0,True,False
18,tc14,2021-11-09 00:12:12.534173,IO26MKNNY6,4,3,6,3,False,False
19,tc14,2021-11-09 00:12:13.454813,IO26MKNNY6,4,3,5,9,False,False
20,tc14,2021-11-09 00:12:14.636123,IO26MKNNY6,4,3,4,7,False,False
21,tc14,2021-11-09 00:12:15.786748,IO26MKNNY6,4,3,3,2,False,False
22,tc14,2021-11-09 00:12:16.961596,IO26MKNNY6,4,2,3,8,False,False
23,tc14,2021-11-09 00:12:18.918757,IO26MKNNY6,4,1,3,6,False,False
24,tc14,2021-11-09 00:12:21.129287,IO26MKNNY6,4,1,1,4,True,False
25,tc14,2021-11-09 00:12:24.324921,IO26MKNNY6,4,1,0,4,True,True
26,tc14,2021-11-09 00:12:25.932059,IO26MKNNY6,5,3,6,5,False,False
27,tc14,2021-11-09 00:12:26.991748,IO26MKNNY6,5,3,5,6,False,False
28,tc14,2021-11-09 00:12:27.504284,IO26MKNNY6,5,2,5,1,False,False
29,tc14,2021-11-09 00:12:28.145549,IO26MKNNY6,5,2,3,0,False,False
30,tc14,2021-11-09 00:12:29.184628,IO26MKNNY6,5,2,2,6,False,False
31,tc14,2021-11-09 00:12:31.185653,IO26MKNNY6,5,1,2,4,False,False
32,tc14,2021-11-09 00:12:36.721786,IO26MKNNY6,5,0,2,4,True,False
33,tc14,2021-11-09 00:12:39.473677,IO26MKNNY6,6,3,6,7,False,False
34,tc14,2021-11-09 00:12:40.454393,IO26MKNNY6,6,3,5,8,False,False
35,tc14,2021-11-09 00:12:40.816237,IO26MKNNY6,6,3,4,1,False,False
36,tc14,2021-11-09 00:12:41.571053,IO26MKNNY6,6,3,3,0,False,False
37,tc14,2021-11-09 00:12:42.341278,IO26MKNNY6,6,2,3,4,False,False
38,tc14,2021-11-09 00:12:43.186240,IO26MKNNY6,6,1,3,2,False,False
39,tc14,2021-11-09 00:12:44.106377,IO26MKNNY6,6,0,3,2,True,False
