,player,win,1_played,2_played,3_played,4_played,5_played,6_played,7_played,8_played,9_played,1_threat,2_threat,3_threat,4_threat,5_threat,6_threat,7_threat,8_threat,9_threat,1_win,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,next_move,Unnamed: 0
0,X,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0
1,O,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1.0
2,X,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0
3,O,0,-1,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,3.0
4,X,0,-1,0,0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,4.0
5,O,0,-1,0,0,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,5.0
6,X,0,-1,0,1,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0,6.0
7,O,0,-1,0,1,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0
8,X,0,-1,1,1,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9.0
10,X,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,10.0
11,O,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,11.0
12,X,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0,12.0
13,O,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.0
14,X,0,1,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,14.0
15,O,0,1,0,0,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,15.0
16,X,0,1,0,1,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2.0,16.0
17,O,0,1,-1,1,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,17.0
18,X,0,1,-1,1,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18.0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,19.0
20,X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,20.0
21,O,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,21.0
22,X,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,22.0
23,O,0,-1,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,23.0
24,X,0,-1,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,24.0
25,O,0,-1,0,1,1,1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.0,25.0
26,X,0,-1,0,1,1,1,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,26.0
27,O,0,-1,-1,1,1,1,0,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,27.0
28,X,1,-1,-1,1,1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,28.0
29,X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,29.0
30,O,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,30.0
31,X,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,31.0
32,O,0,1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0,32.0
33,X,0,1,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,33.0
34,O,0,1,-1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,34.0
35,X,0,1,-1,0,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,35.0
36,O,0,1,-1,0,-1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,36.0
37,X,0,1,-1,1,-1,-1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37.0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
40,X,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0
41,O,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0
42,X,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0,2.0
43,O,0,0,-1,0,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,3.0
44,X,1,0,-1,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0
45,X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,5.0
46,O,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.0
47,X,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,7.0
48,O,0,1,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,8.0
49,X,0,1,0,1,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.0,9.0
